sim_id,replicate_id,t,group_number,Q,population_size,group_name,Q_frac
00972f0e-b555-4d3f-bc71-c6098f185e36,eb5dc24e-1fe1-4a32-9301-e79dca09fafe,8,5,393,8083,fac/staff (on-campus non-student facing),0.04862056167264629
00972f0e-b555-4d3f-bc71-c6098f185e36,eb5dc24e-1fe1-4a32-9301-e79dca09fafe,9,7,13289,258054,Madison Community,0.05149697350167019
00972f0e-b555-4d3f-bc71-c6098f185e36,eb5dc24e-1fe1-4a32-9301-e79dca09fafe,10,6,421,8084,fac/staff (off-campus),0.0520781791192479
00972f0e-b555-4d3f-bc71-c6098f185e36,eb5dc24e-1fe1-4a32-9301-e79dca09fafe,39,3,253,1120,Grad (other),0.22589285714285715
00972f0e-b555-4d3f-bc71-c6098f185e36,eb5dc24e-1fe1-4a32-9301-e79dca09fafe,42,0,2409,6931,(UG Dorms),0.347568893377579
00972f0e-b555-4d3f-bc71-c6098f185e36,eb5dc24e-1fe1-4a32-9301-e79dca09fafe,43,4,538,1698,fac/staff (on-campus student facing),0.3168433451118963
00972f0e-b555-4d3f-bc71-c6098f185e36,eb5dc24e-1fe1-4a32-9301-e79dca09fafe,44,1,4559,24254,UG (off campus),0.1879689948049806
00972f0e-b555-4d3f-bc71-c6098f185e36,eb5dc24e-1fe1-4a32-9301-e79dca09fafe,48,2,1391,13012,Grad (research),0.10690132185674761
0288f301-fe34-42c4-b8d4-1c8c2282a5f7,44e6802a-04b1-4c6a-b28d-ac70207158e2,9,7,14016,258054,Madison Community,0.054314213304192144
0288f301-fe34-42c4-b8d4-1c8c2282a5f7,44e6802a-04b1-4c6a-b28d-ac70207158e2,10,5,368,8083,fac/staff (on-campus non-student facing),0.04552765062476803
0288f301-fe34-42c4-b8d4-1c8c2282a5f7,44e6802a-04b1-4c6a-b28d-ac70207158e2,11,6,389,8084,fac/staff (off-campus),0.048119742701632856
0288f301-fe34-42c4-b8d4-1c8c2282a5f7,44e6802a-04b1-4c6a-b28d-ac70207158e2,33,3,317,1120,Grad (other),0.2830357142857143
0288f301-fe34-42c4-b8d4-1c8c2282a5f7,44e6802a-04b1-4c6a-b28d-ac70207158e2,40,4,571,1698,fac/staff (on-campus student facing),0.33627797408716137
0288f301-fe34-42c4-b8d4-1c8c2282a5f7,44e6802a-04b1-4c6a-b28d-ac70207158e2,43,0,2339,6931,(UG Dorms),0.33746934064348577
0288f301-fe34-42c4-b8d4-1c8c2282a5f7,44e6802a-04b1-4c6a-b28d-ac70207158e2,44,2,1277,13012,Grad (research),0.09814017829695666
0288f301-fe34-42c4-b8d4-1c8c2282a5f7,44e6802a-04b1-4c6a-b28d-ac70207158e2,52,1,4612,24254,UG (off campus),0.19015420136884637
03595602-819f-4ced-8645-261310e47248,29c2e4cc-f8c1-4b42-9d26-7a4ab5f8e934,9,5,458,8083,fac/staff (on-campus non-student facing),0.05666213039712978
03595602-819f-4ced-8645-261310e47248,29c2e4cc-f8c1-4b42-9d26-7a4ab5f8e934,9,7,13673,258054,Madison Community,0.05298503414014121
03595602-819f-4ced-8645-261310e47248,29c2e4cc-f8c1-4b42-9d26-7a4ab5f8e934,10,6,440,8084,fac/staff (off-campus),0.05442850074220683
03595602-819f-4ced-8645-261310e47248,29c2e4cc-f8c1-4b42-9d26-7a4ab5f8e934,34,3,325,1120,Grad (other),0.29017857142857145
03595602-819f-4ced-8645-261310e47248,29c2e4cc-f8c1-4b42-9d26-7a4ab5f8e934,39,0,2285,6931,(UG Dorms),0.32967825710575677
03595602-819f-4ced-8645-261310e47248,29c2e4cc-f8c1-4b42-9d26-7a4ab5f8e934,43,1,4679,24254,UG (off campus),0.1929166323080729
03595602-819f-4ced-8645-261310e47248,29c2e4cc-f8c1-4b42-9d26-7a4ab5f8e934,43,4,589,1698,fac/staff (on-campus student facing),0.3468786808009423
03595602-819f-4ced-8645-261310e47248,29c2e4cc-f8c1-4b42-9d26-7a4ab5f8e934,44,2,1242,13012,Grad (research),0.09545035351982785
0894995d-d8d2-43ee-bc9e-61d7acf33328,3f483160-701f-4659-a808-72589d2af445,9,6,430,8084,fac/staff (off-campus),0.05319148936170213
0894995d-d8d2-43ee-bc9e-61d7acf33328,3f483160-701f-4659-a808-72589d2af445,9,7,13882,258054,Madison Community,0.05379494214389236
0894995d-d8d2-43ee-bc9e-61d7acf33328,3f483160-701f-4659-a808-72589d2af445,10,5,433,8083,fac/staff (on-campus non-student facing),0.05356921934925152
0894995d-d8d2-43ee-bc9e-61d7acf33328,3f483160-701f-4659-a808-72589d2af445,39,3,296,1120,Grad (other),0.2642857142857143
0894995d-d8d2-43ee-bc9e-61d7acf33328,3f483160-701f-4659-a808-72589d2af445,41,2,1263,13012,Grad (research),0.09706424838610514
0894995d-d8d2-43ee-bc9e-61d7acf33328,3f483160-701f-4659-a808-72589d2af445,41,4,555,1698,fac/staff (on-campus student facing),0.32685512367491165
0894995d-d8d2-43ee-bc9e-61d7acf33328,3f483160-701f-4659-a808-72589d2af445,43,0,2307,6931,(UG Dorms),0.33285240225075746
0894995d-d8d2-43ee-bc9e-61d7acf33328,3f483160-701f-4659-a808-72589d2af445,47,1,4919,24254,UG (off campus),0.20281190731425744
0a6639d5-c465-4e4d-85cf-bb9d8505efc8,3e5dabd8-8976-47a8-95dc-cfffe65cd88c,9,7,13469,258054,Madison Community,0.052194501925953485
0a6639d5-c465-4e4d-85cf-bb9d8505efc8,3e5dabd8-8976-47a8-95dc-cfffe65cd88c,11,5,430,8083,fac/staff (on-campus non-student facing),0.05319807002350612
0a6639d5-c465-4e4d-85cf-bb9d8505efc8,3e5dabd8-8976-47a8-95dc-cfffe65cd88c,12,6,384,8084,fac/staff (off-campus),0.0475012370113805
0a6639d5-c465-4e4d-85cf-bb9d8505efc8,3e5dabd8-8976-47a8-95dc-cfffe65cd88c,36,3,316,1120,Grad (other),0.28214285714285714
0a6639d5-c465-4e4d-85cf-bb9d8505efc8,3e5dabd8-8976-47a8-95dc-cfffe65cd88c,39,0,2297,6931,(UG Dorms),0.33140960900302985
0a6639d5-c465-4e4d-85cf-bb9d8505efc8,3e5dabd8-8976-47a8-95dc-cfffe65cd88c,42,1,4838,24254,UG (off campus),0.19947225199967017
0a6639d5-c465-4e4d-85cf-bb9d8505efc8,3e5dabd8-8976-47a8-95dc-cfffe65cd88c,44,4,508,1698,fac/staff (on-campus student facing),0.29917550058892817
0a6639d5-c465-4e4d-85cf-bb9d8505efc8,3e5dabd8-8976-47a8-95dc-cfffe65cd88c,45,2,1261,13012,Grad (research),0.09691054411312634
0b28bab8-9c99-4dbd-be88-44a43fb7b052,45a97aa2-2e78-433f-9d23-1828cfbc41b0,9,7,14038,258054,Madison Community,0.05439946677827121
0b28bab8-9c99-4dbd-be88-44a43fb7b052,45a97aa2-2e78-433f-9d23-1828cfbc41b0,10,5,419,8083,fac/staff (on-campus non-student facing),0.051837189162439685
0b28bab8-9c99-4dbd-be88-44a43fb7b052,45a97aa2-2e78-433f-9d23-1828cfbc41b0,12,6,394,8084,fac/staff (off-campus),0.0487382483918852
0b28bab8-9c99-4dbd-be88-44a43fb7b052,45a97aa2-2e78-433f-9d23-1828cfbc41b0,33,3,253,1120,Grad (other),0.22589285714285715
0b28bab8-9c99-4dbd-be88-44a43fb7b052,45a97aa2-2e78-433f-9d23-1828cfbc41b0,37,4,572,1698,fac/staff (on-campus student facing),0.336866902237927
0b28bab8-9c99-4dbd-be88-44a43fb7b052,45a97aa2-2e78-433f-9d23-1828cfbc41b0,41,0,2386,6931,(UG Dorms),0.34425046890780553
